File Name,Dataset,aid,Date,UTM Zone,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
HLSS30_020_SAA_doy2017185_aid0001,SAA,aid0001,2017-07-04,12N,1662756.0,122.35,124.97,"(122.35,124.97)",123.0275643,0.3883007,0.1507775,123.18,123.78,122.98,122.35,122.78
HLSS30_020_SAA_doy2017191_aid0001,SAA,aid0001,2017-07-10,11N,970611.0,129.05,130.03,"(129.05,130.03)",129.5315499,0.1934835,0.0374359,129.67,130.03,129.53,129.05,129.42
HLSS30_020_SAA_doy2017191_aid0001,SAA,aid0001,2017-07-10,12N,5566205.0,129.05,133.69,"(129.05,133.69)",131.6381392,1.4444189,2.086346,132.88,133.69,132.2,129.05,129.93
HLSS30_020_SAA_doy2017193_aid0001,SAA,aid0001,2017-07-12,11N,970611.0,124.85,125.73,"(124.85,125.73)",125.2763192,0.1725789,0.0297835,125.4,125.73,125.27,124.85,125.17
HLSS30_020_SAA_doy2017193_aid0001,SAA,aid0001,2017-07-12,12N,6710722.0,124.85,130.82,"(124.85,130.82)",127.4667992,1.3736871,1.8870162,128.49,130.82,128.01,124.85,125.86
HLSS30_020_SAA_doy2017196_aid0001,SAA,aid0001,2017-07-15,11N,970611.0,130.18,131.14,"(130.18,131.14)",130.6547579,0.1911976,0.0365565,130.79,131.14,130.66,130.18,130.54
HLSS30_020_SAA_doy2017196_aid0001,SAA,aid0001,2017-07-15,12N,5566205.0,130.18,134.75,"(130.18,134.75)",132.7285206,1.4195727,2.0151866,133.95,134.75,133.27,130.18,131.06
HLSS30_020_SAA_doy2017198_aid0001,SAA,aid0001,2017-07-17,11N,970611.0,126.13,126.99,"(126.13,126.99)",126.5467414,0.1701635,0.0289556,126.67,126.99,126.55,126.13,126.44
HLSS30_020_SAA_doy2017198_aid0001,SAA,aid0001,2017-07-17,12N,6710722.0,126.13,131.99,"(126.13,131.99)",128.7158429,1.3590189,1.8469324,129.74,131.99,129.25,126.13,127.13
HLSS30_020_SAA_doy2017200_aid0001,SAA,aid0001,2017-07-19,12N,1662756.0,125.57,127.97,"(125.57,127.97)",126.1980597,0.3538214,0.1251896,126.34,126.89,126.16,125.57,125.97
HLSS30_020_SAA_doy2017201_aid0001,SAA,aid0001,2017-07-20,11N,970611.0,131.61,132.56,"(131.61,132.56)",132.0837772,0.1888685,0.0356713,132.21,132.55,132.09,131.64,131.98
HLSS30_020_SAA_doy2017201_aid0001,SAA,aid0001,2017-07-20,12N,5566205.0,131.61,136.11,"(131.61,136.11)",134.1246345,1.3944138,1.9443898,135.33,136.11,134.65,131.61,132.49
HLSS30_020_SAA_doy2017205_aid0001,SAA,aid0001,2017-07-24,12N,1662756.0,127.23,129.53,"(127.23,129.53)",127.8352831,0.3398843,0.1155214,127.98,128.53,127.8,127.23,127.61
HLSS30_020_SAA_doy2017206_aid0001,SAA,aid0001,2017-07-25,12N,571405.0,134.9,137.46,"(134.9,137.46)",137.0211323,0.2658844,0.0706945,137.18,137.46,137.05,136.58,136.88
HLSS30_020_SAA_doy2017211_aid0001,SAA,aid0001,2017-07-30,11N,970611.0,135.2,136.11,"(135.2,136.11)",135.6592271,0.1861307,0.0346446,135.78,136.11,135.67,135.23,135.56
HLSS30_020_SAA_doy2017211_aid0001,SAA,aid0001,2017-07-30,12N,5566205.0,135.2,139.54,"(135.2,139.54)",137.6270301,1.3402256,1.7962046,138.79,139.54,138.1,135.2,136.08
